Children,Income,Amount
1,12000,0.0
1,12100,4.0
1,12200,8.0
1,12300,12.0
1,12400,16.0
1,12500,20.0
1,12600,23.0
1,12700,27.0
1,12800,31.0
1,12900,35.0
1,13000,39.0
1,13100,41.0
1,13200,43.0
1,13300,44.0
1,13400,46.0
1,13500,48.0
1,13600,50.0
1,13700,51.0
1,13800,53.0
1,13900,55.0
1,14000,57.0
1,14100,59.0
1,14200,61.0
1,14300,62.0
1,14400,64.0
1,14500,66.0
1,14600,68.0
1,14700,69.0
1,14800,71.0
1,14900,73.0
1,15000,75.0
1,15100,77.0
1,15200,79.0
1,15300,80.0
1,15400,82.0
1,15500,84.0
1,15600,86.0
1,15700,88.0
1,15800,89.0
1,15900,91.0
1,16000,93.0
1,16100,95.0
1,16200,97.0
1,16300,98.0
1,16400,100.0
1,16500,102.0
1,16600,104.0
1,16700,106.0
1,16800,107.0
1,16900,109.0
1,17000,111.0
1,17100,113.0
1,17200,115.0
1,17300,116.0
1,17400,118.0
1,17500,120.0
1,17600,122.0
1,17700,124.0
1,17800,125.0
1,17900,127.0
1,18000,129.0
1,18100,131.0
1,18200,133.0
1,18300,134.0
1,18400,136.0
1,18500,138.0
1,18600,140.0
1,18700,142.0
1,18800,144.0
1,18900,145.0
1,19000,147.0
1,19100,149.0
1,19200,151.0
1,19300,153.0
1,19400,154.0
1,19500,156.0
1,19600,158.0
1,19700,160.0
1,19800,162.0
1,19900,164.0
1,20000,165.0
1,20100,166.0
1,20200,167.0
1,20300,169.0
1,20400,170.0
1,20500,171.0
1,20600,172.0
1,20700,174.0
1,20800,175.0
1,20900,176.0
1,21000,177.0
1,21100,178.0
1,21200,179.0
1,21300,179.0
1,21400,180.0
1,21500,181.0
1,21600,182.0
1,21700,182.0
1,21800,183.0
1,21900,184.0
1,22000,185.0
1,22100,186.0
1,22200,187.0
1,22300,187.0
1,22400,188.0
1,22500,189.0
1,22600,190.0
1,22700,190.0
1,22800,191.0
1,22900,192.0
1,23000,193.0
1,23100,194.0
1,23200,195.0
1,23300,195.0
1,23400,196.0
1,23500,197.0
1,23600,198.0
1,23700,199.0
1,23800,199.0
1,23900,200.0
1,24000,201.0
1,24100,202.0
1,24200,203.0
1,24300,203.0
1,24400,204.0
1,24500,205.0
1,24600,206.0
1,24700,207.0
1,24800,207.0
1,24900,208.0
1,25000,209.0
1,25100,210.0
1,25200,211.0
1,25300,213.0
1,25400,214.0
1,25500,215.0
1,25600,216.0
1,25700,217.0
1,25800,218.0
1,25900,220.0
1,26000,221.0
1,26100,223.0
1,26200,224.0
1,26300,226.0
1,26400,227.0
1,26500,229.0
1,26600,230.0
1,26700,232.0
1,26800,234.0
1,26900,235.0
1,27000,237.0
1,27100,239.0
1,27200,240.0
1,27300,242.0
1,27400,243.0
1,27500,245.0
1,27600,247.0
1,27700,248.0
1,27800,250.0
1,27900,251.0
1,28000,253.0
1,28100,255.0
1,28200,256.0
1,28300,258.0
1,28400,259.0
1,28500,261.0
1,28600,262.0
1,28700,264.0
1,28800,265.0
1,28900,267.0
1,29000,268.0
1,29100,269.0
1,29200,270.0
1,29300,271.0
1,29400,272.0
1,29500,273.0
1,29600,275.0
1,29700,276.0
1,29800,277.0
1,29900,278.0
1,30000,279.0
1,30100,280.0
1,30200,281.0
1,30300,282.0
1,30400,283.0
1,30500,284.0
1,30600,285.0
1,30700,286.0
1,30800,287.0
1,30900,288.0
1,31000,289.0
1,31100,290.0
1,31200,291.0
1,31300,292.0
1,31400,293.0
1,31500,294.0
1,31600,295.0
1,31700,296.0
1,31800,297.0
1,31900,298.0
1,32000,299.0
1,32100,300.0
1,32200,301.0
1,32300,302.0
1,32400,303.0
1,32500,304.0
1,32600,305.0
1,32700,306.0
1,32800,307.0
1,32900,308.0
1,33000,309.0
1,33100,310.0
1,33200,311.0
1,33300,312.0
1,33400,313.0
1,33500,314.0
1,33600,315.0
1,33700,316.0
1,33800,317.0
1,33900,318.0
1,34000,319.0
1,34100,320.0
1,34200,321.0
1,34300,322.0
1,34400,323.0
1,34500,324.0
1,34600,325.0
1,34700,326.0
1,34800,327.0
1,34900,328.0
1,35000,329.0
1,35100,330.0
1,35200,331.0
1,35300,332.0
1,35400,333.0
1,35500,334.0
1,35600,335.0
1,35700,336.0
1,35800,337.0
1,35900,338.0
1,36000,339.0
1,36100,340.0
1,36200,341.0
1,36300,342.0
1,36400,343.0
1,36500,343.0
1,36600,344.0
1,36700,345.0
1,36800,346.0
1,36900,347.0
1,37000,348.0
1,37100,349.0
1,37200,350.0
1,37300,351.0
1,37400,352.0
1,37500,353.0
1,37600,354.0
1,37700,355.0
1,37800,356.0
1,37900,357.0
1,38000,358.0
1,38100,359.0
1,38200,360.0
1,38300,361.0
1,38400,362.0
1,38500,363.0
1,38600,363.0
1,38700,364.0
1,38800,365.0
1,38900,366.0
1,39000,367.0
1,39100,368.0
1,39200,369.0
1,39300,370.0
1,39400,371.0
1,39500,371.0
1,39600,372.0
1,39700,373.0
1,39800,374.0
1,39900,375.0
1,40000,376.0
1,40100,377.0
1,40200,378.0
1,40300,379.0
1,40400,380.0
1,40500,381.0
1,40600,382.0
1,40700,383.0
1,40800,384.0
1,40900,385.0
1,41000,386.0
1,41100,387.0
1,41200,388.0
1,41300,389.0
1,41400,390.0
1,41500,391.0
1,41600,392.0
1,41700,393.0
1,41800,393.0
1,41900,394.0
1,42000,395.0
1,42100,396.0
1,42200,397.0
1,42300,398.0
1,42400,399.0
1,42500,400.0
1,42600,400.0
1,42700,401.0
1,42800,402.0
1,42900,403.0
1,43000,404.0
1,43100,405.0
1,43200,406.0
1,43300,407.0
1,43400,408.0
1,43500,409.0
1,43600,410.0
1,43700,411.0
1,43800,412.0
1,43900,413.0
1,44000,414.0
1,44100,415.0
1,44200,416.0
1,44300,417.0
1,44400,418.0
1,44500,419.0
1,44600,420.0
1,44700,421.0
1,44800,422.0
1,44900,422.0
1,45000,423.0
1,45100,424.0
1,45200,425.0
1,45300,426.0
1,45400,427.0
1,45500,428.0
1,45600,429.0
1,45700,430.0
1,45800,431.0
1,45900,432.0
1,46000,433.0
1,46100,434.0
1,46200,435.0
1,46300,436.0
1,46400,437.0
1,46500,438.0
1,46600,438.0
1,46700,439.0
1,46800,440.0
1,46900,441.0
1,47000,442.0
1,47100,443.0
1,47200,444.0
1,47300,445.0
1,47400,446.0
1,47500,446.0
1,47600,447.0
1,47700,448.0
1,47800,449.0
1,47900,450.0
1,48000,451.0
1,48100,452.0
1,48200,453.0
1,48300,454.0
1,48400,455.0
1,48500,456.0
1,48600,457.0
1,48700,458.0
1,48800,459.0
1,48900,460.0
1,49000,461.0
1,49100,462.0
1,49200,463.0
1,49300,464.0
1,49400,465.0
1,49500,466.0
1,49600,467.0
1,49700,468.0
1,49800,469.0
1,49900,470.0
1,50000,470.0
1,50100,471.0
1,50200,472.0
1,50300,473.0
1,50400,474.0
1,50500,475.0
1,50600,476.0
1,50700,476.0
1,50800,477.0
1,50900,478.0
1,51000,479.0
1,51100,480.0
1,51200,481.0
1,51300,482.0
1,51400,483.0
1,51500,483.0
1,51600,484.0
1,51700,485.0
1,51800,486.0
1,51900,487.0
1,52000,488.0
1,52100,489.0
1,52200,490.0
1,52300,491.0
1,52400,492.0
1,52500,493.0
1,52600,494.0
1,52700,495.0
1,52800,496.0
1,52900,497.0
