Jurisdiction,Children,BasicAmount,PlusPct,OfIncomeOver
AB,1,1318.0,0.84,150000
AB,2,2133.0,1.32,150000
AB,3,2784.0,1.62,150000
AB,4,3317.0,1.88,150000
AB,5,3762.0,2.2,150000
AB,6,4138.0,2.4,150000
AB,7,4138.0,2.4,150000
BC,1,1356.0,0.78,150000
BC,2,2159.0,1.18,150000
BC,3,2802.0,1.56,150000
BC,4,3328.0,1.88,150000
BC,5,3766.0,2.1,150000
BC,6,4137.0,2.32,150000
BC,7,4137.0,2.32,150000
MB,1,1241.0,0.78,150000
MB,2,1992.0,1.12,150000
MB,3,2594.0,1.5,150000
MB,4,3086.0,1.76,150000
MB,5,3492.0,2.0,150000
MB,6,3833.0,2.2,150000
MB,7,3833.0,2.2,150000
NB,1,1257.0,0.72,150000
NB,2,2014.0,1.14,150000
NB,3,2619.0,1.44,150000
NB,4,3115.0,1.76,150000
NB,5,3528.0,2.0,150000
NB,6,3877.0,2.16,150000
NB,7,3877.0,2.16,150000
NL,1,1283.0,0.8,150000
NL,2,2049.0,1.2,150000
NL,3,2662.0,1.56,150000
NL,4,3163.0,1.8,150000
NL,5,3581.0,2.04,150000
NL,6,3935.0,2.28,150000
NL,7,3935.0,2.28,150000
NS,1,1241.0,0.74,150000
NS,2,1988.0,1.2,150000
NS,3,2585.0,1.5,150000
NS,4,3073.0,1.7,150000
NS,5,3481.0,2.02,150000
NS,6,3825.0,2.14,150000
NS,7,3825.0,2.14,150000
NT,1,1363.0,0.76,150000
NT,2,2180.0,1.26,150000
NT,3,2833.0,1.6,150000
NT,4,3367.0,1.84,150000
NT,5,3813.0,2.14,150000
NT,6,4189.0,2.26,150000
NT,7,4189.0,2.26,150000
NU,1,1417.0,0.84,150000
NU,2,2262.0,1.32,150000
NU,3,2937.0,1.6,150000
NU,4,3490.0,1.9,150000
NU,5,3951.0,2.18,150000
NU,6,4341.0,2.4,150000
NU,7,4341.0,2.4,150000
ON,1,1299.0,0.72,150000
ON,2,2077.0,1.2,150000
ON,3,2698.0,1.46,150000
ON,4,3207.0,1.76,150000
ON,5,3631.0,2.0,150000
ON,6,3990.0,2.22,150000
ON,7,3990.0,2.22,150000
PE,1,1241.0,0.72,150000
PE,2,1987.0,1.12,150000
PE,3,2584.0,1.44,150000
PE,4,3073.0,1.76,150000
PE,5,3480.0,1.98,150000
PE,6,3824.0,2.12,150000
PE,7,3824.0,2.12,150000
SK,1,1271.0,0.78,150000
SK,2,2037.0,1.22,150000
SK,3,2650.0,1.6,150000
SK,4,3151.0,1.84,150000
SK,5,3569.0,2.1,150000
SK,6,3922.0,2.26,150000
SK,7,3922.0,2.26,150000
YT,1,1366.0,0.8,150000
YT,2,2182.0,1.26,150000
YT,3,2835.0,1.66,150000
YT,4,3369.0,1.94,150000
YT,5,3814.0,2.2,150000
YT,6,4190.0,2.34,150000
YT,7,4190.0,2.34,150000
